support_case_id,support_case_created_ts_utc,support_case_created_date_utc,support_case_language,support_case_vertical,is_support_case_escalated_to_agent,support_case_state,support_case_city_id,support_case_order_id,support_case_user_persona
385839299,2024-06-01T18:56:30Z,2024-06-01,fr,vertical_3,TRUE,closed,336,null,persona_13
385688227,2024-06-01T14:38:39Z,2024-06-01,es-419,vertical_5,FALSE,draft,862,null,persona_11
385500102,2024-06-01T07:58:34Z,2024-06-01,en-GB,vertical_5,FALSE,draft,18,null,persona_11
385600753,2024-06-01T11:54:16Z,2024-06-01,en-US,vertical_5,FALSE,draft,3,null,persona_11
385475087,2024-06-01T06:36:45Z,2024-06-01,es-ES,vertical_5,FALSE,draft,862,null,persona_11
385648933,2024-06-01T13:26:47Z,2024-06-01,en,vertical_4,FALSE,closed,54,1677881228,persona_13
385429753,2024-06-01T02:39:36Z,2024-06-01,lt-lt,vertical_5,FALSE,draft,250,null,persona_11
385536002,2024-06-01T09:33:37Z,2024-06-01,az-az,vertical_5,FALSE,draft,335,null,persona_11
385431599,2024-06-01T02:51:22Z,2024-06-01,ro-ro,vertical_5,FALSE,draft,325,null,persona_11
385726398,2024-06-01T15:46:39Z,2024-06-01,en-GB,vertical_5,FALSE,draft,137,null,persona_11
385431265,2024-06-01T02:49:16Z,2024-06-01,en-gb,vertical_5,FALSE,draft,324,1610238437,persona_11
385899866,2024-06-01T20:45:35Z,2024-06-01,ro,vertical_2,TRUE,closed,325,175957632,persona_8
385709418,2024-06-01T15:16:55Z,2024-06-01,sw-tz,vertical_5,FALSE,draft,343,null,persona_11
385616114,2024-06-01T12:24:14Z,2024-06-01,uk,vertical_4,FALSE,closed,1076,1076366712,persona_6
385426961,2024-06-01T02:22:11Z,2024-06-01,tr-tr,vertical_5,FALSE,draft,307,1610225599,persona_11
385796338,2024-06-01T17:43:44Z,2024-06-01,uk-ua,vertical_5,FALSE,draft,271,null,persona_11
385531640,2024-06-01T09:22:54Z,2024-06-01,lt,vertical_2,FALSE,closed,9,null,persona_8
385564799,2024-06-01T10:40:17Z,2024-06-01,ru,vertical_5,FALSE,draft,350,null,persona_11
