support_case_id,interaction_requested_event_id,request_created,response_created,interaction_option
385941299,2789803170,2024-06-08T18:14:00Z,2024-06-09T18:36:39Z,bad
385839471,2786535146,2024-06-08T02:22:29Z,null,null
385766218,2786428856,2024-06-08T01:15:23Z,2024-06-08T01:15:57Z,bad
385467219,2787484566,2024-06-08T09:22:30Z,2024-06-08T09:22:55Z,good
385531648,2787641133,2024-06-08T10:04:00Z,null,null
385787630,2788040957,2024-06-08T11:39:49Z,null,null
385627579,2787717951,2024-06-08T10:22:30Z,null,null
385889314,2790529486,2024-06-08T21:11:30Z,null,null
385767072,2787219860,2024-06-08T08:05:00Z,null,null
385487399,2790288559,2024-06-08T20:08:10Z,null,null
385684504,2789289624,2024-06-08T16:15:50Z,null,null
385441353,2787340823,2024-06-08T08:42:09Z,null,null
385401060,2790664009,2024-06-08T21:51:17Z,2024-06-08T21:51:20Z,good
385618819,2787993957,2024-06-08T11:28:48Z,null,null
385509215,2786613189,2024-06-08T03:14:00Z,null,null
385934533,2790807496,2024-06-08T22:40:10Z,null,null
385618819,2787991560,2024-06-08T11:28:13Z,2024-06-08T11:28:48Z,good
385401060,2790215875,2024-06-08T19:50:05Z,2024-06-08T21:51:17Z,good
385560379,2787797771,2024-06-08T10:41:49Z,null,null
385907936,2780907699,2024-06-06T21:06:29Z,2024-06-07T17:35:46Z,bad
385780136,2781071149,2024-06-06T22:05:59Z,2024-06-07T02:51:07Z,bad
385558009,2778160754,2024-06-06T10:31:38Z,null,null
385964440,2781291348,2024-06-06T23:54:29Z,null,null
385572651,2778627816,2024-06-06T12:11:38Z,null,null
385793851,2780128326,2024-06-06T17:45:28Z,null,null
385909135,2780909358,2024-06-06T21:06:59Z,null,null
385523915,2777781553,2024-06-06T09:04:38Z,null,null
385617006,2778714825,2024-06-06T12:30:08Z,null,null
385739667,2779844176,2024-06-06T16:39:59Z,2024-06-06T16:41:29Z,good
385650199,2780001272,2024-06-06T17:15:58Z,null,null
385669636,2779257054,2024-06-06T14:29:38Z,2024-06-06T14:47:04Z,bad
385457765,2777082600,2024-06-06T05:24:59Z,null,null
385589272,2778439758,2024-06-06T11:31:08Z,null,null
385591598,2778497853,2024-06-06T11:43:38Z,null,null
385649089,2779162474,2024-06-06T14:09:09Z,null,null
385488513,2779766417,2024-06-06T16:21:59Z,null,null
385409587,2776712965,2024-06-06T00:46:59Z,null,null
385519878,2778192103,2024-06-06T10:38:38Z,null,null
385507268,2777610920,2024-06-06T08:20:29Z,null,null
385548538,2778058310,2024-06-06T10:08:38Z,null,null
385592932,2779562449,2024-06-06T15:36:58Z,null,null
385464935,2777171870,2024-06-06T06:03:59Z,2024-06-06T21:08:15Z,good
385894580,2781036147,2024-06-06T21:51:59Z,null,null
385565201,2778241693,2024-06-06T10:49:38Z,null,null
385644476,2779085348,2024-06-06T13:52:08Z,2024-06-06T13:56:32Z,good
385484733,2777655262,2024-06-06T08:32:08Z,null,null
385553643,2778100355,2024-06-06T10:18:08Z,null,null
385498619,2777524221,2024-06-06T07:57:28Z,2024-06-06T07:59:15Z,bad
385646985,2779224961,2024-06-06T14:22:38Z,null,null
385606225,2778611653,2024-06-06T12:08:08Z,null,null
385823591,2780677924,2024-06-06T20:00:29Z,null,null
385617663,2778728888,2024-06-06T12:33:08Z,null,null
385932165,2781087552,2024-06-06T22:12:59Z,null,null
385693169,2779638454,2024-06-06T15:53:59Z,null,null
385742987,2781021024,2024-06-06T21:45:59Z,null,null
385450929,2777016112,2024-06-06T04:50:29Z,null,null
385635593,2778865355,2024-06-06T13:04:08Z,null,null
385921370,2780998638,2024-06-06T21:37:29Z,null,null
385908099,2780997267,2024-06-06T21:36:59Z,null,null
385665451,2779564639,2024-06-06T15:37:29Z,null,null
385453998,2778100334,2024-06-06T10:18:08Z,null,null
385618789,2778879314,2024-06-06T13:07:09Z,null,null
385739145,2779712875,2024-06-06T16:09:59Z,null,null
385496762,2778627022,2024-06-06T12:11:28Z,null,null
385495089,2777480409,2024-06-06T07:44:59Z,null,null
385460250,2777116837,2024-06-06T05:41:28Z,null,null
385450550,2777082595,2024-06-06T05:24:59Z,null,null
385510436,2777665063,2024-06-06T08:34:38Z,null,null
385478207,2777373860,2024-06-06T07:13:29Z,null,null
385621512,2780928521,2024-06-06T21:13:29Z,2024-06-06T21:14:00Z,bad
385410892,2776726775,2024-06-06T00:58:58Z,null,null
385602341,2778609345,2024-06-06T12:07:38Z,null,null
385619910,2779101140,2024-06-06T13:55:38Z,null,null
385535390,2777899106,2024-06-06T09:32:38Z,2024-06-06T10:06:41Z,good
385585646,2778405895,2024-06-06T11:24:08Z,null,null
385607971,2778616453,2024-06-06T12:09:08Z,2024-06-06T12:09:25Z,good
385437085,2776895968,2024-06-06T03:29:58Z,null,null
385787630,2778478846,2024-06-06T11:39:33Z,null,null
385571579,2778293583,2024-06-06T11:00:38Z,null,null
385569423,2778973912,2024-06-06T13:28:08Z,null,null
385965096,2781289115,2024-06-06T23:52:58Z,null,null
385715216,2780157039,2024-06-06T17:52:29Z,2024-06-06T18:11:21Z,bad
385792595,2780100619,2024-06-06T17:38:59Z,null,null
385849233,2781280194,2024-06-06T23:47:29Z,null,null
385487808,2779555938,2024-06-06T15:35:29Z,null,null
385924534,2781019648,2024-06-06T21:45:29Z,null,null
385809208,2780976735,2024-06-06T21:29:29Z,null,null
385769702,2779933782,2024-06-06T16:59:59Z,null,null
385535844,2778037757,2024-06-06T10:04:08Z,null,null
385862673,2780736432,2024-06-06T20:16:29Z,null,null
385636548,2779626943,2024-06-06T15:51:29Z,null,null
385411635,2776725049,2024-06-06T00:57:28Z,null,null
385769323,2779822737,2024-06-06T16:35:08Z,2024-06-06T16:35:43Z,good
385456639,2777071923,2024-06-06T05:19:59Z,null,null
385526752,2778506775,2024-06-06T11:45:38Z,null,null
385842167,2780449500,2024-06-06T19:01:59Z,null,null
385709143,2779894780,2024-06-06T16:51:14Z,null,null
385642965,2778939885,2024-06-06T13:20:38Z,null,null
385525624,2778444571,2024-06-06T11:32:11Z,2024-06-06T11:32:14Z,good
385701144,2779498150,2024-06-06T15:22:28Z,null,null
385749952,2780661627,2024-06-06T19:55:59Z,null,null
385740364,2779726403,2024-06-06T16:12:59Z,2024-06-06T16:41:18Z,good
385840503,2780441642,2024-06-06T18:59:59Z,null,null
385777102,2779988358,2024-06-06T17:12:58Z,2024-06-06T17:13:32Z,bad
385758206,2779851340,2024-06-06T16:41:29Z,null,null
385870019,2780637124,2024-06-06T19:49:29Z,null,null
385654428,2779026467,2024-06-06T13:39:08Z,null,null
385889314,2780922278,2024-06-06T21:11:21Z,null,null
385692535,2779500320,2024-06-06T15:22:59Z,null,null
385778319,2780003525,2024-06-06T17:16:29Z,null,null
385412911,2776732829,2024-06-06T01:03:59Z,null,null
385801895,2780411312,2024-06-06T18:52:59Z,null,null
385783403,2780195699,2024-06-06T18:01:29Z,null,null
385565223,2778351344,2024-06-06T11:12:38Z,null,null
385590566,2777544708,2024-06-06T08:03:12Z,2024-06-06T18:05:46Z,bad
385631637,2779060500,2024-06-06T13:46:38Z,null,null
385718504,2779553480,2024-06-06T15:34:59Z,null,null
385444265,2777007154,2024-06-06T04:45:28Z,null,null
385802351,2780343089,2024-06-06T18:36:28Z,null,null
385494850,2777491253,2024-06-06T07:47:59Z,null,null
385692531,2780228202,2024-06-06T18:08:59Z,null,null
385424955,2776808419,2024-06-06T02:11:28Z,null,null
385518097,2777789644,2024-06-06T09:06:38Z,null,null
385675119,2779203748,2024-06-06T14:18:08Z,null,null
385436310,2776887280,2024-06-06T03:22:29Z,null,null
385934533,2781149451,2024-06-06T22:40:09Z,null,null
385618725,2780997254,2024-06-06T21:36:58Z,null,null
385778118,2780598900,2024-06-06T19:39:29Z,null,null
385757223,2779855581,2024-06-06T16:42:29Z,null,null
385907566,2780952870,2024-06-06T21:21:29Z,null,null
385684504,2779738714,2024-06-06T16:15:39Z,null,null
385854959,2780619319,2024-06-06T19:44:59Z,null,null
385754336,2780293527,2024-06-06T18:24:28Z,null,null
385744252,2779100468,2024-06-06T13:55:28Z,null,null
385687563,2780445521,2024-06-06T19:00:59Z,null,null
385802160,2780178359,2024-06-06T17:57:29Z,null,null
385917641,2781211095,2024-06-06T23:09:59Z,null,null
385516932,2777718873,2024-06-06T08:48:38Z,null,null
385421520,2776792019,2024-06-06T01:56:58Z,null,null
385599048,2776784567,2024-06-06T01:49:52Z,null,null
385607308,2778680764,2024-06-06T12:22:38Z,null,null
385551258,2778549906,2024-06-06T11:54:38Z,null,null
385820222,2780441632,2024-06-06T18:59:59Z,null,null
385754255,2779820029,2024-06-06T16:34:29Z,null,null
385839471,2776820792,2024-06-06T02:22:22Z,null,null
385489595,2777510134,2024-06-06T07:53:29Z,null,null
385779643,2780949961,2024-06-06T21:20:29Z,null,null
385750263,2779792118,2024-06-06T16:27:59Z,null,null
385924006,2781041290,2024-06-06T21:53:59Z,null,null
385926941,2781201214,2024-06-06T23:04:59Z,null,null
385628184,2779884915,2024-06-06T16:48:59Z,null,null
385816786,2780277210,2024-06-06T18:20:29Z,null,null
385847356,2780600711,2024-06-06T19:39:59Z,null,null
385663539,2779099059,2024-06-06T13:55:08Z,null,null
385922433,2781008331,2024-06-06T21:40:58Z,null,null
385437551,2776896500,2024-06-06T03:30:28Z,null,null
385957422,2781251658,2024-06-06T23:31:29Z,null,null
385849819,2780833874,2024-06-06T20:43:59Z,null,null
385603745,2778598037,2024-06-06T12:05:08Z,null,null
385736860,2779719568,2024-06-06T16:11:28Z,null,null
385919093,2780982348,2024-06-06T21:31:28Z,null,null
